Layer,Category,Total Area (sq.km),Area within Zone (sq.km),Percentage within Zone (%),Percentage of Zone (%)
Abyssal Classification,Hills,201582.2434378854,18263.880669745027,9.06026262941794,13.639863933268428
Abyssal Classification,Mountains,357038.16024377034,108675.66119808637,30.438108106956214,81.16135110625268
Abyssal Classification,Plains,41664.184940100546,1809.9158456104624,4.344056767731154,1.3516845795914751
Basins,Large basins of seas and oceans,116314.01773673244,26671.906667587693,22.930947779619686,19.919160903705684
Basins,Small basins of seas and oceans,6803.097440691463,2003.820562872515,29.45453273808831,1.496496846343446
Basins,Major ocean basins,198121.39330558438,15956.87295184212,8.054088801621782,11.916940315106448
Canyons,blind,2683.6337085098035,1207.637950561035,45.000103655413724,0.9018903279186625
Canyons,shelf incising,664.5857218412732,0.0,0.0,0.0
Shelf Classification,high,2409.116100217259,89.40332980721129,3.711042809400042,0.06676835420697631
Shelf Classification,medium,635.3277052451435,1.5062374951084136,0.23708040475383116,0.001124890972294808
Bioregions,Palau Abyssal Range,23724.038419358312,0.0,0.0,0.0
Bioregions,FSM - Palau Sea Mount Range,5631.789795682361,0.0,0.0,0.0
Bioregions,"Mussau Trench, Ayu Seamounts and associated trough and abyss",78406.82200305832,36528.660702075125,46.58862554160185,27.280399530106546
Bioregions,West Caroline and South Sorol Trough,46135.70267536435,0.0,0.0,0.0
Bioregions,Yap Trench and Patches,28570.824533415136,12128.16868721594,42.44948784390659,9.057580568153245
Bioregions,West Caroline and Mussau Ridge,25553.630786661386,13131.839255526345,51.38932844870314,9.807143611907582
Bioregions,"Palau Trench and Philippines, Indonesia Boarder",101296.68487340423,13168.841009262305,13.00026849419613,9.834777327620962
Bioregions,East Emden Deep,9186.983631959985,0.0,0.0,0.0
Bioregions,South Challenger Deep,9329.40808040983,0.0,0.0,0.0
Bioregions,"North Mussau Trench, South Palau and Micronesia",56088.25348665153,4039.6237656325047,7.202263423292182,3.0168790248449437
Bioregions,North Palau and Yap Trenches and Miklukho-Maklaya Seamount,155842.77730815363,27336.190813575668,17.54087759840343,20.4152627742853
Bioregions,Manokwari Abyss,3030.558080661014,0.0,0.0,0.0
Bioregions,North Palau and Mariana Deep,1011.2655518538245,0.0,0.0,0.0
Bioregions,North of Yap Trench and Northwest Micronesia,6592.413411513879,0.0,0.0,0.0
Bioregions,Northern Micronesia Patches,329.9006342147602,0.0,0.0,0.0
Bioregions,West Palau to South Philippine Trench,20186.7994927928,3796.9518632642153,18.809082958493857,2.8356463619413774
Bioregions,Yap Island non contiguous,6956.1420878798335,0.0,0.0,0.0
Bioregions,Sonsorol and East Kayangel,35081.31582206,17743.889821129836,50.579316668538524,13.25152344036293
Bioregions,Sonsorol and Tobi Ridge,14088.457808330795,5941.57143939875,42.17332741618729,4.437294978467694
