Layer,Category,Total Area (sq.km),Area within Zone (sq.km),Percentage within Zone (%),Percentage of Zone (%)
Abyssal Classification,Hills,201582.2434378854,631.3918448915514,0.3132179869235881,2.5058407320221723
Abyssal Classification,Mountains,357038.16024377034,8811.876330987094,2.468048884458379,34.97219486501641
Abyssal Classification,Plains,41664.184940100546,0.0,0.0,0.0
Basins,Large basins of seas and oceans,116314.01773673244,1131.1389213576103,0.9724871888767987,4.4892153828822
Basins,Small basins of seas and oceans,6803.097440691463,0.0,0.0,0.0
Basins,Major ocean basins,198121.39330558438,62.63079682631935,0.03161233412573321,0.24856640616470535
Canyons,blind,2683.6337085098035,824.1624827675005,30.710692005174963,3.2709005284635073
Canyons,shelf incising,664.5857218412732,664.5857218412739,100.00000000000011,2.6375791597312492
Shelf Classification,high,2409.116100217259,2319.712771131991,96.2889572205671,9.206376033401236
Shelf Classification,medium,635.3277052451435,633.8214678920746,99.76291961760305,2.515483315035284
Bioregions,Palau Abyssal Range,23724.038419358312,0.0,0.0,0.0
Bioregions,FSM - Palau Sea Mount Range,5631.789795682361,0.0,0.0,0.0
Bioregions,"Mussau Trench, Ayu Seamounts and associated trough and abyss",78406.82200305832,7110.940120598036,9.069287517252858,28.221592567806773
Bioregions,West Caroline and South Sorol Trough,46135.70267536435,0.0,0.0,0.0
Bioregions,Yap Trench and Patches,28570.824533415136,2021.5543614669873,7.075589852517799,8.023057791997836
Bioregions,West Caroline and Mussau Ridge,25553.630786661386,0.0,0.0,0.0
Bioregions,"Palau Trench and Philippines, Indonesia Boarder",101296.68487340423,2517.5894417992886,2.485362127048533,9.991700432642121
Bioregions,East Emden Deep,9186.983631959985,0.0,0.0,0.0
Bioregions,South Challenger Deep,9329.40808040983,0.0,0.0,0.0
Bioregions,"North Mussau Trench, South Palau and Micronesia",56088.25348665153,0.0,0.0,0.0
Bioregions,North Palau and Yap Trenches and Miklukho-Maklaya Seamount,155842.77730815363,5012.578664664153,3.216433094459423,19.8937060907687
Bioregions,Manokwari Abyss,3030.558080661014,0.0,0.0,0.0
Bioregions,North Palau and Mariana Deep,1011.2655518538245,0.0,0.0,0.0
Bioregions,North of Yap Trench and Northwest Micronesia,6592.413411513879,0.0,0.0,0.0
Bioregions,Northern Micronesia Patches,329.9006342147602,0.0,0.0,0.0
Bioregions,West Palau to South Philippine Trench,20186.7994927928,0.0,0.0,0.0
Bioregions,Yap Island non contiguous,6956.1420878798335,0.0,0.0,0.0
Bioregions,Sonsorol and East Kayangel,35081.31582206,1815.7334203853247,5.175784824021756,7.20620451484765
Bioregions,Sonsorol and Tobi Ridge,14088.457808330795,2717.6229455977864,19.2897120647996,10.785584778223878
