Biodiversity Layer,Total Area (sq.km),Area within Zone (sq.km),Percentage within Zone (%),Percentage of Zone (%)
Abyssal Classification,600284.5886217562,128749.45771344187,21.44806982452249,96.1528996191126
Basins,321238.50848300825,44632.600182302325,13.893913401936725,33.33259806515558
Bridges,25.267593395849982,25.26759339584999,100.00000000000003,0.018870389161678488
Canyons,3348.2194303510764,1207.637950561035,36.06806470370458,0.9018903279186625
Escarpments,135555.9455901616,43529.60664075019,32.11191250316466,32.50885846139398
Ridges,81454.44494279267,21694.69847755118,26.63414930000182,16.202073406955463
Shelf Classification,3044.4438054624025,90.9095673023197,2.986081304545938,0.06789324517927112
Slopes,13076.410564610496,1008.5235003097465,7.71254080258979,0.7531873190847225
Trenches,9798.657026560615,7504.014651995164,76.58207274379023,5.604161604933197
Hadal,14100.179880525853,4051.8632347364464,28.736252083794948,3.0260197269888076
Rift Valleys,4558.681573774551,667.5333560292125,14.64312313168433,0.49852845141719826
Seamounts,40770.27123331922,11848.31850257388,29.0611716433491,8.848582354178873
Bioregions,627043.768483426,133815.7373570807,21.340733148617158,99.9365076176906
Spreading Ridges,36410.260181007834,7895.952743141992,21.686065147264852,5.896869509139096
